id,store_name,email,phone_number,store_address
1,شركة التقنية المتقدمة,fu3c33ic@datafactory.io,+966 566158433,طريق الملك فهد، دبي، 50477
2,مجموعة الفوزان,iu4ltvg5@yahoo.com,+966 555843546,شارع التخصصي، الإسكندرية، 76655
3,مؤسسة الحلول الرقمية,x1m7kx19@gmail.com,+966 515587749,شارع جامعة الدول العربية، الإسكندرية، 16054
4,شركة الرياض للتجارة,f0fifxce@example.com,+966 563039594,شارع الملك عبد العزيز، جدة، 70967
5,مجموعة الفوزان,z1oyom24@example.com,+966 592465132,شارع الملك عبد العزيز، الدمام، 32467
6,مجموعة الفوزان,fhjdr9ql@outlook.com,+966 516150477,شارع التخصصي، الرياض، 26869
7,شركة التقنية المتقدمة,tiieoyu1@datafactory.io,+966 539983353,شارع التخصصي، دبي، 15192
8,مجموعة الفوزان,jvk3oo0c@yahoo.com,+966 523502682,شارع الملك عبد العزيز، مكة المكرمة، 34134
9,مؤسسة الحلول الرقمية,s81ajc7o@gmail.com,+966 588056318,شارع جامعة الدول العربية، مكة المكرمة، 31363
10,مؤسسة الحلول الرقمية,5rcj5adm@gmail.com,+966 524034631,شارع التخصصي، مكة المكرمة، 74373
11,شركة التقنية المتقدمة,osleu6lw@gmail.com,+966 526172785,شارع العليا، مكة المكرمة، 62257
12,مجموعة الفوزان,zdflycc8@datafactory.io,+966 594755431,شارع جامعة الدول العربية، دبي، 42161
13,شركة الرياض للتجارة,3vfrahzx@outlook.com,+966 535654052,طريق الملك فهد، جدة، 91094
14,مجموعة الفوزان,9mrgdjyb@gmail.com,+966 554134863,شارع العليا، الدمام، 89632
15,شركة الرياض للتجارة,z7chlvss@gmail.com,+966 552652885,شارع التخصصي، جدة، 25975
16,شركة التقنية المتقدمة,owv6h0fp@datafactory.io,+966 597610830,شارع التخصصي، جدة، 13326
17,شركة التقنية المتقدمة,3lok4kj6@gmail.com,+966 562918216,شارع الملك عبد العزيز، الدمام، 92698
18,شركة التقنية المتقدمة,sklsml0t@datafactory.io,+966 585180648,شارع الملك عبد العزيز، جدة، 41020
19,مجموعة الفوزان,yb358mkp@yahoo.com,+966 531474092,شارع العليا، جدة، 96401
20,مجموعة الفوزان,pys3g7ky@yahoo.com,+966 581668354,شارع التخصصي، الإسكندرية، 60179
21,مجموعة الفوزان,z5mcs75e@outlook.com,+966 509445272,شارع التخصصي، دبي، 23543
22,مؤسسة الحلول الرقمية,9nr6kajs@outlook.com,+966 589385843,شارع التخصصي، الدمام، 67859
23,مؤسسة الحلول الرقمية,tc21ihvy@gmail.com,+966 529688427,شارع جامعة الدول العربية، دبي، 59484
24,مؤسسة الحلول الرقمية,f5aor3s1@example.com,+966 503765621,طريق الملك فهد، جدة، 90457
25,شركة الرياض للتجارة,jeru8v4e@example.com,+966 516577899,طريق الملك فهد، دبي، 14334
26,مجموعة الفوزان,wc90z7th@outlook.com,+966 539586376,شارع جامعة الدول العربية، القاهرة، 74251
27,شركة التقنية المتقدمة,iy7mt8lv@yahoo.com,+966 581727369,شارع التخصصي، القاهرة، 59564
28,مجموعة الفوزان,7frqrn32@solix-agent.ai,+966 533034107,شارع الملك عبد العزيز، الدمام، 42719
29,شركة التقنية المتقدمة,mnylo5vw@yahoo.com,+966 553882247,طريق الملك فهد، دبي، 57976
30,شركة الرياض للتجارة,cauy5v18@datafactory.io,+966 549522449,شارع جامعة الدول العربية، الدمام، 44182
31,مجموعة الفوزان,7grrqzpa@yahoo.com,+966 573695421,طريق الملك فهد، الرياض، 86599
32,شركة الرياض للتجارة,164m47qw@solix-agent.ai,+966 586396235,شارع جامعة الدول العربية، مكة المكرمة، 26260
33,شركة التقنية المتقدمة,2e9zbntk@example.com,+966 516379278,شارع العليا، دبي، 89310
