hospital_id,hospital_name,email,phone_number,address,number_of_doctors,number_of_beds,hospital_type,establishment_date,notes,average_rating,price_per_day,total_capacity,number_of_nurses,number_of_departments,is_emergency_available
1,شركة التقنية المتقدمة,rg6jzxb0@yahoo.com,+966 574993744,شارع جامعة الدول العربية، مكة المكرمة، 86576,87,2153,جامعي,2020-02-18,مراجعة حالة حساب دعم موقع نشط حالة سائق شحن. تأكيد عميل حساب تقرير معالجة متابعة معالجة معايير معايير موافقة ملف. نظام تأكيد مالي توصيل عمليات حالة متابعة حالة فريق معالجة. سائق مالي موافقة موافقة معا,1.3,850,1722,861,14,نعم
2,مؤسسة الحلول الرقمية,xqprsh27@solix-agent.ai,+966 543589634,طريق الملك فهد، القاهرة، 85559,958,2907,حكومي,2022-06-06,نظام عميل موقع ملف معايير عمليات حالة توصيل خطوة مراجعة نظام مراجعة. موقع تقرير عمليات فريق تحديث شحن نجاح بيانات نشط موقع.,4.87,2421,2326,518,14,نعم
3,مجموعة الفوزان,wuzqh07b@example.com,+966 505678813,شارع التخصصي، مكة المكرمة، 14791,971,4575,حكومي,2020-11-15,نجاح متابعة موافقة موافقة موقع معايير معايير تحديث بيانات خطوة معالجة عمليات. عمليات بيانات مراجعة حالة حالة مراجعة دعم خطوة بيانات دعم سائق.,4.95,3268,3660,1630,28,نعم
4,مجموعة الفوزان,g9pspdtz@gmail.com,+966 589642661,شارع التخصصي، الإسكندرية، 43160,364,88,حكومي,2017-11-15,نشط شحن مالي دعم نظام. نظام نشط مالي نشط طلب توصيل نظام عميل تحديث عميل طلب شحن. عميل نجاح نجاح فريق تحديث توصيل طلب مالي متابعة حالة فني.,2.66,2393,70,1505,36,لا
5,مؤسسة الحلول الرقمية,bko4wdl0@outlook.com,+966 552020235,شارع العليا، جدة، 12248,992,851,خاص,2026-11-07,حساب سائق خطوة شحن مالي نظام دعم. مراجعة مالي نشط نظام عميل. فني عمليات توصيل نشط طلب معالجة تقرير عمليات طلب موافقة نجاح.,4.73,2377,681,1716,10,لا
6,مجموعة الفوزان,14ynqz8h@solix-agent.ai,+966 578023448,شارع جامعة الدول العربية، الرياض، 20421,684,3364,جامعي,2017-06-26,تحديث طلب موقع نجاح نظام عميل تأكيد. شحن نشط نظام حالة طلب تقرير بيانات معالجة نشط موقع خطوة عميل. موقع حالة نظام نجاح نشط.,3.92,3328,2691,1231,14,نعم
7,شركة الرياض للتجارة,90yul2ke@gmail.com,+966 518304145,شارع العليا، الرياض، 60491,755,388,جامعي,2019-06-11,معايير نظام حساب تسليم طلب سائق متابعة تقرير مراجعة. ملف معايير توصيل نجاح موافقة معايير تحديث. عميل تحديث نشط موقع دعم عميل ملف مستندات توصيل فاتورة فريق.,4.27,3340,310,2305,50,نعم
8,مجموعة الفوزان,3kia2rge@gmail.com,+966 576575279,شارع جامعة الدول العربية، دبي، 18119,431,4989,جامعي,2018-02-12,عميل تحديث ملف موقع دعم عمليات فريق موقع تسليم فريق. مالي تقرير حالة سائق تسليم بيانات تأكيد عمليات فاتورة حالة. فريق توصيل معالجة تقرير عميل نشط طلب.,2.83,4215,3991,1290,49,لا
9,مجموعة الفوزان,ryhfyx5m@example.com,+966 502591005,طريق الملك فهد، الإسكندرية، 75326,475,3081,حكومي,2023-03-17,عميل ملف ملف بيانات عمليات سائق حالة خطوة حساب. عمليات نظام حساب موافقة فريق شحن تقرير موقع طلب موقع. سائق دعم دعم طلب فريق مراجعة. عميل متابعة طلب بيانات توصيل.,2.94,386,2465,1728,33,لا
10,شركة الرياض للتجارة,xq1affoo@outlook.com,+966 559892517,شارع العليا، دبي، 59428,56,4062,جامعي,2021-12-08,تقرير حساب تأكيد بيانات نجاح موقع نجاح موافقة. معالجة فاتورة تحديث مستندات عمليات موافقة ملف معايير سائق تسليم.,1.14,2649,3250,823,22,لا
