id,store_name,email,phone_number,address,product_name,price,quantity,category,description,date_added,date_updated,seller_name,rating,review_count,image_url,weight,dimensions,material,color
1,شركة الرياض للتجارة,rg4lr65u@gmail.com,+966 551101136,شارع التخصصي، مكة المكرمة، 11023,سائق تحديث متابعة معايير حساب تحديث.,508.4,31,ألعاب,حالة فاتورة تقرير ملف معالجة. موقع موافقة تأكيد بيانات فريق تسليم.,2026-12-19,2021-06-13,مريم رضوان,1,7,تحديث تقرير تسليم خطوة نجاح دعم.,25.23,52 سم × 93 سم × 15 سم,بلاستيك,أحمر
2,مؤسسة الحلول الرقمية,mvrycsdk@solix-agent.ai,+966 594598419,شارع الملك عبد العزيز، القاهرة، 40181,بيانات مراجعة عميل عميل فريق تأكيد.,956.65,58,إلكترونيات,تسليم عمليات نجاح توصيل تأكيد نجاح عمليات مستندات. مالي دعم توصيل توصيل حساب نظام تحديث.,2025-04-14,2020-01-22,طارق رضوان,4,64,تقرير خطوة متابعة فاتورة تحديث فريق.,91.53,72 سم × 61 سم × 21 سم,خشب,أحمر
3,شركة التقنية المتقدمة,18uw2lmf@outlook.com,+966 551639704,شارع الملك عبد العزيز، الإسكندرية، 94591,خطوة موافقة تحديث نظام حالة شحن.,804.29,33,إلكترونيات,بيانات نظام حساب موقع عميل موقع خطوة تقرير حالة سائق. دعم مراجعة شحن متابعة ملف معايير حساب شحن حالة تقرير.,2018-02-14,2025-08-26,ياسمين الحربي,5,107,موقع موقع شحن نشط حالة موافقة.,26.57,83 سم × 87 سم × 75 سم,خشب,أخضر
4,مجموعة الفوزان,89iiml99@gmail.com,+966 599908394,طريق الملك فهد، مكة المكرمة، 13563,فريق ملف شحن عميل مستندات بيانات.,734.28,8,رياضة,خطوة عمليات موافقة تقرير نجاح طلب معايير نجاح فني توصيل تسليم شحن. نشط فني مالي تحديث تقرير طلب مراجعة حساب تسليم ملف نظام. نظام تأكيد نجاح مالي متابعة موافقة نظام ملف.,2016-03-10,2023-01-07,أحمد محمود,5,364,نظام فريق فريق مراجعة معايير مراجعة.,89.58,75 سم × 88 سم × 24 سم,خشب,أسود
5,مجموعة الفوزان,9c5h1ajp@example.com,+966 522821273,شارع التخصصي، دبي، 71537,نظام فني مستندات متابعة فني شحن.,93.46,80,ملابس,توصيل طلب شحن تقرير تحديث عمليات مالي عمليات فني نظام. نظام تسليم مراجعة فاتورة تسليم طلب موقع تقرير تسليم عميل. بيانات توصيل تسليم موافقة طلب معالجة موافقة بيانات توصيل عميل.,2020-10-09,2021-11-03,فاطمة سليمان,1,3,بيانات ملف فاتورة تأكيد طلب دعم.,10.35,3 سم × 22 سم × 53 سم,بلاستيك,أخضر
6,شركة التقنية المتقدمة,je5f992i@yahoo.com,+966 599501507,طريق الملك فهد، القاهرة، 92706,نظام فريق معالجة فاتورة توصيل معايير.,203.19,10,أثاث,موافقة مالي معالجة مراجعة نشط نجاح نجاح سائق تحديث شحن خطوة. موافقة عمليات فريق ملف مراجعة معالجة عمليات تقرير. موافقة شحن معالجة عمليات عمليات نشط فاتورة معايير نظام شحن سائق شحن. موقع توصيل تسليم فن,2017-04-18,2021-08-20,علي محمود,2,8,تقرير تسليم شحن مالي تسليم تسليم.,65.66,2 سم × 88 سم × 30 سم,بلاستيك,أصفر
7,مؤسسة الحلول الرقمية,0gnf5lxd@outlook.com,+966 515602917,شارع الملك عبد العزيز، جدة، 83018,تقرير موافقة معالجة سائق بيانات تأكيد.,595.72,95,ألعاب,فاتورة معايير تقرير نشط معالجة تقرير تحديث نشط. فريق توصيل حساب عمليات نجاح طلب مراجعة نشط توصيل مستندات. تأكيد فني مالي نشط عميل فني توصيل نجاح تأكيد.,2022-05-17,2026-06-25,سارة الغانم,1,8,تحديث مالي مستندات مستندات شحن سائق.,90.7,38 سم × 2 سم × 64 سم,بلاستيك,أزرق
8,مؤسسة الحلول الرقمية,a4uccphs@example.com,+966 554945770,شارع العليا، مكة المكرمة، 63306,خطوة تقرير موقع تأكيد نشط شحن.,218.27,9,ملابس,تحديث معايير بيانات معالجة تقرير. مالي موافقة حالة مالي دعم تسليم نجاح تسليم معايير تحديث.,2019-01-10,2016-09-06,ليلى الغانم,1,3,حالة توصيل مراجعة مراجعة توصيل موقع.,16.87,60 سم × 21 سم × 33 سم,زجاج,أزرق
9,مجموعة الفوزان,f09uofol@yahoo.com,+966 563808378,طريق الملك فهد، القاهرة، 73342,مراجعة حساب فاتورة حساب مالي موقع.,275.17,85,ألعاب,عمليات توصيل مالي عمليات موقع عميل نجاح مالي نشط موافقة حساب معالجة. موقع شحن موقع بيانات نجاح طلب عمليات موقع. فاتورة نشط نجاح دعم متابعة خطوة. تسليم فريق موافقة حساب طلب حالة موقع حالة.,2026-01-07,2021-11-19,عبدالله الشافعي,5,874,ملف موقع معالجة سائق عمليات معالجة.,96.83,76 سم × 58 سم × 22 سم,بلاستيك,أحمر
10,شركة الرياض للتجارة,vjsf7ys8@datafactory.io,+966 559441646,شارع العليا، القاهرة، 97710,دعم فني نظام عميل معالجة مستندات.,867.72,16,إلكترونيات,دعم موافقة ملف تقرير مالي ملف طلب. فاتورة معالجة سائق شحن فاتورة ملف.,2021-07-06,2024-08-16,زينب رضوان,4,66,طلب موافقة مستندات فني فني حالة.,45.29,89 سم × 49 سم × 91 سم,حديد,أسود
11,مؤسسة الحلول الرقمية,mcdal53b@solix-agent.ai,+966 591560450,شارع جامعة الدول العربية، دبي، 29212,عمليات توصيل موافقة تحديث نجاح حساب.,619.86,67,رياضة,توصيل دعم حساب ملف خطوة حساب طلب. مراجعة حساب متابعة نجاح تقرير مستندات بيانات معايير مالي فريق مالي فني.,2018-01-20,2015-06-06,علي سليمان,1,0,معالجة نظام عميل ملف توصيل موقع.,94.57,59 سم × 42 سم × 92 سم,زجاج,أحمر
12,شركة التقنية المتقدمة,nkcspawu@datafactory.io,+966 546015253,طريق الملك فهد، مكة المكرمة، 85220,سائق حالة موقع توصيل شحن حساب.,225.93,47,رياضة,فريق تسليم تأكيد طلب موقع ملف. خطوة فريق ملف معايير فريق معايير عميل دعم تأكيد دعم فريق. نظام مراجعة فريق نجاح ملف مستندات نظام دعم ملف نشط. عميل متابعة حالة معالجة بيانات سائق تقرير شحن تحديث ملف معا,2025-11-14,2025-01-28,خالد المصري,2,6,متابعة ملف مالي نظام نشط شحن.,67.68,60 سم × 80 سم × 15 سم,زجاج,أصفر
13,شركة الرياض للتجارة,vk42geme@datafactory.io,+966 547418288,شارع الملك عبد العزيز، القاهرة، 22824,حساب فريق نشط نظام معايير عمليات.,740.11,51,أثاث,مراجعة معالجة حالة نشط فاتورة معالجة موقع. سائق نشط حالة نظام تقرير مراجعة. موقع سائق متابعة تأكيد معالجة شحن مستندات نجاح.,2026-02-19,2019-07-02,منى العتيبي,3,0,متابعة نجاح نظام تقرير تحديث موافقة.,30.16,62 سم × 62 سم × 47 سم,زجاج,أخضر
14,مؤسسة الحلول الرقمية,5lc3oquu@outlook.com,+966 543386692,شارع الملك عبد العزيز، دبي، 93485,عميل معايير خطوة ملف ملف موقع.,625.8,24,رياضة,شحن نجاح نظام فاتورة نظام نشط تحديث سائق متابعة مالي مراجعة متابعة. دعم مراجعة مستندات عميل عميل فاتورة حالة عميل فريق. متابعة حساب مالي فريق تقرير عميل نجاح سائق عميل. طلب تسليم فريق خطوة تقرير ملف ش,2019-08-01,2024-05-18,عبدالله صالح,1,2,طلب بيانات حالة متابعة توصيل نظام.,18.83,62 سم × 51 سم × 55 سم,بلاستيك,أخضر
15,شركة التقنية المتقدمة,rtb3wr06@outlook.com,+966 533285172,شارع العليا، القاهرة، 30450,سائق معالجة فريق مراجعة توصيل بيانات.,702.32,20,إلكترونيات,حالة مستندات نظام تحديث شحن دعم طلب طلب ملف عمليات تأكيد دعم. نشط ملف عمليات متابعة مستندات نشط دعم تحديث سائق.,2021-04-06,2022-04-21,سارة المصري,1,7,ملف معايير فريق فاتورة بيانات موقع.,30.37,64 سم × 3 سم × 51 سم,زجاج,أسود
16,شركة الرياض للتجارة,xyc65ndc@gmail.com,+966 549184300,شارع الملك عبد العزيز، جدة، 40434,فريق ملف خطوة نظام طلب حساب.,321.95,64,أثاث,موافقة بيانات تقرير تأكيد دعم معالجة حالة معايير نشط متابعة نظام بيانات. مالي معايير خطوة موقع موافقة موافقة تقرير موقع عميل دعم سائق.,2023-02-03,2025-09-02,ليلى الشافعي,2,8,دعم مالي دعم معالجة تأكيد ملف.,9.3,7 سم × 21 سم × 73 سم,بلاستيك,أحمر
17,شركة الرياض للتجارة,sadetnsk@outlook.com,+966 538702441,طريق الملك فهد، الدمام، 74323,متابعة مراجعة فاتورة مالي نشط عميل.,231.04,62,ملابس,حالة بيانات عميل فريق تقرير. حالة ملف عميل معايير حالة تأكيد ملف خطوة.,2025-06-23,2020-09-18,منى رضوان,4,12,سائق معالجة حساب مراجعة عميل موافقة.,14.39,39 سم × 18 سم × 4 سم,بلاستيك,أحمر
18,مؤسسة الحلول الرقمية,v9qk3yh6@outlook.com,+966 585618248,شارع العليا، الرياض، 23021,متابعة فاتورة توصيل عمليات فريق فني.,357.96,88,رياضة,معالجة توصيل خطوة معايير توصيل تسليم متابعة مراجعة معالجة حساب تقرير. ملف فني دعم معايير نشط. حساب طلب شحن عميل موافقة موقع عمليات مستندات موقع.,2026-01-18,2020-12-07,عبدالله سليمان,1,0,معايير فني متابعة عميل سائق عميل.,10.47,89 سم × 60 سم × 14 سم,زجاج,أصفر
19,مجموعة الفوزان,sgh8z3zz@solix-agent.ai,+966 525067826,طريق الملك فهد، دبي، 17566,تحديث مستندات معايير سائق تأكيد موقع.,137.78,50,أثاث,فريق نظام نظام عميل تقرير فريق حالة تسليم تأكيد. موافقة توصيل تأكيد تسليم مالي طلب مراجعة ملف موافقة. ملف موقع نجاح ملف دعم.,2026-03-21,2023-05-05,يوسف صالح,1,0,تحديث سائق حساب توصيل نظام متابعة.,42.29,9 سم × 90 سم × 53 سم,خشب,أخضر
20,شركة التقنية المتقدمة,8la8jzdf@outlook.com,+966 562136406,شارع الملك عبد العزيز، الدمام، 22944,متابعة تحديث عميل شحن مراجعة فاتورة.,528.24,35,إلكترونيات,دعم معايير مستندات بيانات مستندات نجاح مستندات دعم. دعم عمليات عميل تحديث نظام سائق متابعة. بيانات خطوة حساب فني تأكيد مستندات توصيل حالة حساب نشط. مراجعة موافقة مراجعة بيانات تسليم.,2019-03-18,2022-12-13,محمد العتيبي,4,24,عمليات موافقة تقرير تسليم نشط موافقة.,79.56,2 سم × 84 سم × 92 سم,خشب,أحمر
